Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
1,Tiemenguan Facility #1,41.79631457,85.89292251,Tiemenguan,Tiemenguan,#N/A,C_KO02,3,33.07,5.7,1,1,1,1,an external fence was added,3rdQt2018,0,N/A,Farmland,,,,,,0,N/A,0,15,15,,0,0,1,0,0.6,N/A,Attached to a neighbouring Bingtaun outpost,"A Tier 3 detention centre in Tiemenguan, Tiemenguan with watchtowers and interior fencing and an external wall.  Since it was completed, an external fence was added.Attached to a neighbouring Bingtaun outpost.",,,19-Jun,,0
2,Shawan Facility #1,44.24371543,85.95868515,Tarbaghatay,Shawan,#N/A,P_SH04,4,16.68,0.7,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,6,6,6,0,0,0,0,0.3,N/A,Seems to be attached to a large forced labour complex,"A Tier 4 prison in Shawan, Tarbaghatay with watchtowers and an external wall. Seems to be attached to a large forced labour complex.",,,18-Apr,1,0
3,Korgas Facility #1,44.02501403,80.87406655,Ili,Korgas,32,C_GH16,1,4.43,N/A,0,1,1,1,some internal fencing were removed from outside residential buildings,2019,0,N/A,School,N/A,None known,None Known,None known,https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-camp-32-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-32-2d82d69b9e27,0,N/A,N/A,29,29,29,0,0,7,30,0.1,N/A,,"A Tier 1 re-education facility in Korgas, Ili with and interior fencing and an external wall.  Since it was completed, some internal fencing were removed from outside residential buildings..",,,20-Mar,,1
4,Hotan County Facility #1,37.24207341,79.85950743,Hotan,Hotan County,#N/A,C_HO08,3,15.36,2.9,1,1,1,1,some internal fencing were added,2ndHf2019,0,N/A,Farmland,,,,,,0,N/A,8,8,8,18,0,1,6,0,1.7,1.3,Part of an industrial park,"A Tier 3 detention centre in Hotan County, Hotan with watchtowers and interior fencing and an external wall.  Since it was completed, some internal fencing were added.Part of an industrial park.",,,20-Apr,,0
5,Ghulja Facility #1,43.97564369,81.50095389,Ili,Ghulja,#N/A,C_GH08,1,21.67,0.1,0,0,1,0,,N/A,0,N/A,School,,,,,,1,Most inner city Ghulja camps appear to have been consolidated into larger camps built on the outskirts of town.,7,7,6,8,0,1,0,2,0.1,N/A,,"A Tier 1 re-education facility in Ghulja, Ili with an external wall. .",,,20-Apr,,0
6,Hotan County Facility #2,37.24953813,79.84833336,Hotan,Hotan County,5,P_HO04,4,13.86,1.5,1,0,1,0,,N/A,0,N/A,Desert,,,,,,0,N/A,4,4,7,7,1,0,2,0,0.8,0.6,Part of an industrial park,"A Tier 4 prison in Hotan County, Hotan with watchtowers and an external wall. Part of an industrial park.",,,20-Apr,1,0
7,Hotan County Facility #3,37.28540612,79.83034629,Hotan,Hotan County,#N/A,#N/A,1,11.36,0.2,0,0,1,0,,N/A,1,Sporting Facilities have been added in 2019,Desert,,,,,,0,N/A,0,N/A,4,4,0,0,0,18,0.1,N/A,Part of an industrial park,"A Tier 1 re-education facility in Hotan County, Hotan with an external wall. Part of an industrial park.",,,20-Apr,,0
8,Yarkant Facility #1,38.36263275,77.12129809,Kashgar,Yarkant,43,C_QE31,4,15.67,0.1,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,5,5,5,0,0,0,13,0.2,N/A,,"A Tier 4 prison in Yarkant, Kashgar with watchtowers and an external wall. .",,,20-Mar,,0
9,Mori Facility #1,43.81194318,90.28063419,Sanji,Mori,#N/A,C_SA12,2,3.56,2,0,0,1,0,,N/A,0,N/A,This looked like some sort of ruins,,,,,,0,N/A,6,N/A,N/A,6,0,0,0,0,0.1,N/A,,"A Tier 2 re-education facility in Mori, Sanji with an external wall. .",,,20-Mar,1,0
10,Ghulja City Facility #1,43.96326301,81.31066566,Ili,Ghulja City,#N/A,C_GH04,3,25.94,0.2,0,1,1,1,"after expansion, the former external wall was removed",1stHf2019,0,N/A,School,,,,,,0,N/A,8,8,11,11,1,0,1,0,0.3,N/A,Seems to be next to a huge greehouse park,"A Tier 3 detention centre in Ghulja City, Ili with and interior fencing and an external wall.  Since it was completed, after expansion, the former external wall was removed.Seems to be next to a huge greehouse park.",,,20-Mar,1,0
